url,title,date,domain,language,country_1_iso3,country_2_iso3,sentiment,fetched_at
https://www.thehindubusinessline.com/economy/indias-textile-exports-growth-recorded-in-111-countries-shows-resilience-and-diversification/article70273983.ece,"India textile exports growth recorded in 111 countries , shows resilience and diversification",20251113T081500Z,thehindubusinessline.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124208
https://www.livemint.com/news/india/fta-talks-new-zealand-indian-grapes-imports-11762856595157.html,"As FTA talks gather pace , New Zealand in a first to allow Indian grapes imports",20251111T144500Z,livemint.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028181
https://www.livemint.com/news/india/india-set-to-become-world-s-largest-scotch-market-says-scotch-whisky-association-whats-driving-this-growth-11762674444713.html,"India set to become world largest Scotch market , says Scotch Whisky Association what driving this growth ? ",20251109T113000Z,livemint.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028217
https://www.zonebourse.com/actualite-bourse/tata-steel-demande-la-prolongation-des-droits-d-importation-sur-certains-produits-siderurgiques-en-i-ce7d5fdcde8cf723,Tata Steel demande la prolongation des droits dimportation sur certains produits sidérurgiques en Inde,20251113T131500Z,zonebourse.com,French,IND,GBR,0.0,2025-11-15T18:09:48.028229
https://www.rediff.com/business/report/india-to-emerge-as-largest-scotch-market/20251110.htm,India to emerge as largest scotch market,20251109T234500Z,rediff.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028249
https://www.thehindubusinessline.com/economy/india-to-emerge-as-largest-scotch-market-exploring-partnership-with-indian-malt-makers-scotch-whisky-association/article70258856.ece,"India to emerge as largest scotch market , exploring partnership with Indian malt makers : Scotch Whisky Association",20251109T101500Z,thehindubusinessline.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028262
https://www.dailyexcelsior.com/india-to-emerge-as-largest-scotch-mkt-exploring-partnership-with-indian-malt-makers-scotch-whisky-asso/,"India to emerge as largest scotch mkt , exploring partnership  with Indian malt makers : Scotch Whisky Asso",20251109T071500Z,dailyexcelsior.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028274
https://www.timesnownews.com/business-economy/industry/swa-chief-predicts-india-will-lead-global-scotch-whisky-market-in-next-few-years-heres-what-he-said-article-153124337,SWA Chief Predicts India Will Lead Global Scotch Whisky Market In Next Few Years ; Here What He Said,20251109T121500Z,timesnownews.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028286
https://www.mondaq.com:443/unitedstates/export-controls-trade-investment-sanctions/1702652/sanctions-update-november-3-2025,"Sanctions Update : November 3 , 2025",20251110T103000Z,mondaq.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028301
https://www.moneycontrol.com/news/business/withdrawal-of-14-qcos-landmark-reform-to-enhance-eodb-in-textiles-plastic-and-chemical-industries-experts-13676066.html,"Withdrawal of 14 QCOs landmark reform , to enhance EoDB in textiles , plastic and chemical industries : Experts",20251114T100000Z,moneycontrol.com,English,IND,GBR,0.0,2025-11-15T18:09:48.028313
