year,month,country_1_iso3,country_2_iso3,avg_tone,article_count,goldstein_scale_avg
2025,11,DOM,DOM,1.6158587372980198,3,1.5666666666666664
2025,11,ISR,AUT,-5.851062584757355,2,5.0
2025,11,PER,PAN,1.67949615115466,2,0.0
2025,11,AUS,TON,-3.0212806707932005,3,-0.16666666666666652
2025,11,AGO,AFR,2.66272189349112,1,4.0
2025,11,UKR,TUR,-1.33689839572193,3,4.0
2025,11,QAT,UKR,-8.81612090680104,1,-2.0
2025,11,USA,DEU,-3.118053261651902,77,0.8142857142857141
2025,11,USA,JPN,-0.5815179442776479,94,1.2202127659574467
2025,11,THA,KOR,0.0,3,5.2
2025,11,GBR,YEM,2.442499368113884,7,-1.5714285714285712
2025,11,EUR,GBR,-1.1324005219794668,31,3.9000000000000004
2025,11,PAK,JOR,3.6741743790470935,26,3.1307692307692307
2025,11,USA,BHS,0.3443085755454349,16,0.6437499999999998
2025,11,TZA,KEN,3.5585579169305395,15,-1.4
2025,11,CUB,MEX,-2.00720535254761,3,1.0
2025,11,AFR,RUS,-3.335401231823245,10,2.99
2025,11,JOR,EGY,3.1615322107459196,4,3.0
2025,11,HRV,AUT,0.83102493074792,2,-5.0
2025,11,RUS,SVK,-5.07462686567164,4,1.0
2025,11,BFA,BFA,-4.95182997082833,4,2.575
2025,11,CHL,CHN,3.41463414634146,1,2.8
2025,11,GHA,CAN,6.16856943011938,4,0.5
2025,11,THA,MMR,-5.289397512413192,5,-2.4000000000000004
2025,11,MEX,BRA,-1.039453314016437,16,2.89375
2025,11,RUS,FIN,-5.271925578261477,23,0.3434782608695648
2025,11,VNM,PHL,5.09259259259259,2,2.8
2025,11,AUS,NPL,4.225008862105633,12,4.283333333333334
2025,11,TUR,BRA,0.394292880622925,8,2.6249999999999996
2025,11,CUB,HTI,-0.08624062022120249,7,1.1428571428571432
2025,11,GBR,PSE,-3.1537794929040657,28,-1.9428571428571426
2025,11,KHM,KOR,0.0,3,5.2
2025,11,FRA,ZAF,-2.66075388026608,1,6.0
2025,11,THA,MYS,-0.531406253378405,23,3.7130434782608694
2025,11,MYS,MYS,-0.9078327523774152,43,0.6232558139534884
2025,11,QAT,PAK,-1.039342363074241,9,1.4444444444444446
2025,11,CIV,MLI,-3.24324324324325,2,-4.4
2025,11,CAN,CHL,-0.18861303047438138,7,3.4
2025,11,FRA,SWE,2.60416666666667,1,3.4
2025,11,NOR,IDN,3.9303515077802222,11,6.890909090909091
2025,11,POL,CHE,0.0,1,7.4
2025,11,POL,LTU,-2.9501714521696587,16,2.8
2025,11,CHE,RUS,-2.823149828594475,2,-0.050000000000000044
2025,11,AFG,DEU,-3.5432855694894396,2,-0.050000000000000044
2025,11,USA,THA,-2.1713842470339726,14,2.0357142857142856
2025,11,AFR,SEA,-3.4726000448053203,6,1.9
2025,11,SAU,DJI,5.47550432276657,2,7.0
2025,11,SRB,AZE,-3.53741496598639,2,6.4
2025,11,GRC,BEL,-0.8189963483040321,5,0.4
2025,11,DZA,CAN,7.06713780918728,2,1.9
2025,11,DEU,COD,3.66197183098592,2,4.0
2025,11,FIN,GBR,4.120597870597872,4,2.05
2025,11,VEN,PSE,-6.89655172413794,2,-5.0
2025,11,PRT,ITA,2.224784376775607,3,7.0
2025,11,LTU,LVA,2.60047281323877,2,1.0
2025,11,FRA,EGY,4.16666666666667,1,3.4
2025,11,EGY,MKD,2.527024329026555,4,3.5
2025,11,BRA,PAK,7.65864332603938,1,2.8
2025,11,SRB,SRB,-4.8647854203409695,3,3.6666666666666665
2025,11,AFR,MCO,-4.48143405889885,1,-5.0
2025,11,SYR,BGD,-2.82971197574532,1,1.9
2025,11,IRL,CZE,-10.02054686265214,3,3.666666666666667
2025,11,TWN,TWN,-1.4658412714921412,32,0.321875
2025,11,USA,NIC,-3.0535547332647957,13,-0.8461538461538464
2025,11,CHE,GBR,3.66492146596859,1,8.0
2025,11,MDA,EUR,1.6357764578635723,6,4.800000000000001
2025,11,SVK,HRV,-0.02920110192837022,4,1.45
2025,11,UKR,TWN,3.752181912534795,6,1.7500000000000002
