iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
CAF,2013.0,1691544110.18543,4642419.0,6.98879341970198,21.24890762399188,15.350746339965747,37
CAN,2013.0,1846597421834.98,35080992.0,0.938291897815317,28.24436583011586,17.37317003179511,38
CCK,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,39
CHE,2013.0,706234937370.968,8089346.0,-0.217323155115693,27.283213791564712,15.9060585688424,40
CHL,2013.0,277395018837.366,17687006.0,1.7895555398459,26.34870838806306,16.688340860187758,41
CHN,2013.0,9570471111831.68,1363240000.0,2.62105001748115,29.88970354816845,21.03313005706539,42
CIV,2013.0,42760235484.6093,23939775.0,2.58117037252936,24.478874430235177,16.991051901325182,43
CMR,2013.0,33728621180.3231,21402376.0,2.05034718001741,24.241612607073648,16.87901254859009,44
COD,2013.0,32679745048.4427,75789395.0,0.808223101487111,24.21002130548314,18.143468946367356,45
COG,2013.0,17958720699.0868,4857099.0,4.63161619729461,23.611341666776035,15.395952109956783,46
COK,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,47
COL,2013.0,382093697077.685,46151584.0,2.01699224310383,26.668931695787382,17.647441862852087,48
COM,2013.0,1116224106.83728,696192.0,-4.29487331536736,20.83321749421947,13.453382199726912,49
CPV,2013.0,2028910915.16446,512225.0,1.50654285701407,21.430764991535174,13.146521212880565,50
CRI,2013.0,50949668841.6696,4716147.0,5.23133614174428,24.654104096940824,15.366502922674544,51
CUB,2013.0,77148000000.0,11298167.0,1.96682557818842,25.068991491906925,16.240151146645264,52
CUW,2013.0,3033568603.35196,153822.0,1.33232086152117,21.833005520667612,11.943557869736422,53
CXR,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,54
CYM,2013.0,4405796023.18409,58655.0,2.16061146813391,22.206186789244494,10.979445150639432,55
CYP,2013.0,23959712860.8331,1183895.0,-0.399357676464426,23.899639626058125,13.98432125273028,56
CZE,2013.0,213024360541.119,10514272.0,1.4382978723404,26.084672364858573,16.168244225403928,57
DEU,2013.0,3808086291482.36,80645605.0,1.50472330251876,28.968147893179534,18.205574878720217,58
DJI,2013.0,2042817162.85639,984824.0,2.70603242872182,21.437595654825234,13.800219239395316,59
DMA,2013.0,498296296.296296,69715.0,-0.0464116468805992,20.026705432552333,11.152185125641573,60
DNK,2013.0,344631016965.12,5614932.0,0.789071780078062,26.565740165597138,15.540940213759358,61
DOM,2013.0,62682159338.0354,10193833.0,4.830950967408,24.861342704048806,16.137293585660856,62
DZA,2013.0,229701430292.157,38414171.0,3.25423910998847,26.160046173409874,17.463937011971144,63
ECU,2013.0,96570334000.0,15807128.0,2.72177577710371,25.293537429560658,16.575971598767588,64
